Date,Open,High,Low,Close,Adj Close,Volume
11/12/2020,290.7600098,292.0700073,287.25,288.3999939,283.1635132,34414600
11/13/2020,290.1700134,291.5700073,287.8699951,290.9299927,285.647583,24806900
11/16/2020,290.6199951,293.5100098,289.9899902,293.2000122,287.8763733,30168400
11/17/2020,293.3999939,293.7399902,291.6099854,292.269989,286.9632874,21843500
11/18/2020,291.7000122,293.3699951,290.019989,290.1099854,284.8424683,28069600
11/19/2020,289.5400085,292.7000122,288.8500061,292.3800049,287.0712585,22718400
11/20/2020,292.2999878,293.0700073,290.2900085,290.3800049,285.1075745,25907300
11/23/2020,291.4100037,292.75,288.0700073,290.3900146,285.1174622,26875600
11/24/2020,291.4899902,294.980011,289.6300049,294.4700012,289.123291,24516800
11/25/2020,295.5700073,296.9400024,294.5899963,296.2799988,290.9004517,23326800
11/27/2020,298.3099976,300.1700134,297.8999939,299.0100098,293.5809326,17163100
11/30/2020,299.3399963,299.9700012,294.7799988,299.6199951,294.1797791,27836200
12/1/2020,301.9700012,305.1400146,300.8299866,303.4599915,297.9500427,27521300
12/2/2020,302.25,304.2000122,300.3500061,303.8500061,298.3330383,23620000
12/3/2020,304.1700134,305.8800049,303.5299988,304.2799988,298.755249,22828700
12/4/2020,304.3299866,305.6700134,303.6300049,305.519989,299.9726563,19332100
12/7/2020,305.7099915,307.6300049,305.519989,307.25,301.6712952,20851000
12/8/2020,306.7600098,308.6000061,304.9500122,308.2900085,302.6923828,18341500
12/9/2020,308.0700073,308.3599854,300.2099915,301.3099976,295.8391418,48839300
12/10/2020,299.2099915,303.6799927,298.0899963,302.519989,297.0271301,27519500
12/11/2020,300.8099976,301.980011,298.4700012,301.8500061,296.3693542,26760400
12/14/2020,303.0799866,306.0499878,303.0100098,304.0400085,298.5195618,28804800
12/15/2020,306.3699951,307.2900085,304.1099854,307.2900085,301.7105408,25709000
12/16/2020,307.7000122,309.7900085,306.6199951,308.980011,303.369873,25461900
12/17/2020,310.6300049,311.2399902,309.3900146,311,305.3532104,23730500
12/18/2020,311.6600037,311.980011,307.6099854,310.0599976,304.4302063,41173400
12/21/2020,306.4599915,309.4700012,303.6000061,308.9200134,303.8607178,37095500
12/22/2020,309.8500061,310.7099915,306.8500061,309.7600098,304.6869812,26176300
12/23/2020,309.8099976,310.1799927,308.0400085,308.2000122,303.1525574,21201300
12/24/2020,308.4700012,310.019989,308.3900146,309.5599976,304.4902344,16785000
12/28/2020,312.25,313.1700134,310.3599854,312.6799927,307.5591431,22497700
12/29/2020,314.0499878,314.6900024,312.0299988,312.9599915,307.8345337,25871900
12/30/2020,314.1600037,314.4899902,312.3299866,312.9700012,307.8443909,18138100
12/31/2020,312.8699951,314.2399902,311.7600098,313.7399902,308.6018066,21611400
1/4/2021,315.1099854,315.2900085,305.1799927,309.3099976,304.2443237,45305900
1/5/2021,308.2900085,312.1400146,308.2900085,311.8599854,306.752594,29323400
1/6/2021,307,311.8800049,305.980011,307.5400085,302.5033569,52809600
1/7/2021,310.2799988,315.8399963,310.25,314.980011,309.8215332,30394800
1/8/2021,317.3399963,319.3900146,315.0799866,319.0299988,313.8051758,33955800
1/11/2021,315.980011,317.1900024,313.75,314.4200134,309.2706604,32746400
1/12/2021,314.4599915,315.5799866,311.2000122,313.9200134,308.7788696,29266800
1/13/2021,314.1900024,316.8599854,313.5700073,316.0400085,310.8641663,22898400
1/14/2021,316.5,317.5299988,313.8599854,314.3500061,309.2018127,23500100
1/15/2021,314.1300049,315.1199951,310.5799866,311.8599854,306.752594,35118700
1/19/2021,314.25,316.9299927,313.1199951,316.4100037,311.2280273,24537000
1/20/2021,320.1400146,324.7399902,316.5100098,323.769989,318.4675293,30728100
1/21/2021,325.1499939,327.1300049,323.730011,326.3599854,321.0150757,25130600
1/22/2021,325.2900085,326.4599915,324.7099915,325.4200134,320.0905151,21609400
1/25/2021,328.9100037,330.3200073,321.4100037,328.1099854,322.7364197,39080600
1/26/2021,328.8500061,329.7600098,327.2200012,328.5899963,323.2086182,25498100
1/27/2021,326.2600098,326.269989,317.3599854,319.4299927,314.1986694,55264000
1/28/2021,320.6700134,326.4200134,320.0299988,321.3200073,316.0576782,42836300
1/29/2021,319.5799866,320.7200012,312.7600098,314.5599976,309.4083252,55259000
2/1/2021,318.1099854,323.5400085,316.019989,322.4200134,317.139679,35646000
2/2/2021,325.480011,328.8699951,325.3099976,327.6799927,322.313446,33930800
2/3/2021,329.8200073,330.2000122,326.3200073,326.3800049,321.03479,24824500
2/4/2021,327.8200073,330.3299866,326.4599915,330.2399902,324.8315735,22350900
2/5/2021,331.2200012,332.3999939,329.5299988,331.3599854,325.933197,22732000
2/8/2021,333.1000061,333.7399902,331.4100037,333.5799866,328.1168518,20462800
2/9/2021,332.6199951,334.8099976,332.6099854,333.5100098,328.0480042,17597500
2/10/2021,334.9899902,335.4599915,329.5,332.75,327.3004761,28068700
2/11/2021,334.3299866,335,332.1199951,334.5799866,329.1005249,22046100
2/12/2021,333.7099915,336.6199951,332.6300049,336.4500122,330.9398804,20346800
2/16/2021,337.269989,338.1900024,334.3399963,335.5400085,330.0448303,27080800
2/17/2021,332.4700012,335.6600037,330.1700134,333.9299927,328.4610901,31360300
2/18/2021,330.230011,333.8699951,328.3599854,332.4700012,327.0250854,32236200
2/19/2021,333.8599854,333.9899902,329.9700012,331.019989,325.5987854,39157700
2/22/2021,326.5,327.7999878,322.230011,322.4400024,317.1593323,47256900
2/23/2021,317,323.2000122,311,321.480011,316.2149963,97241900
2/24/2021,318.7399902,324.4500122,315.9599915,324.1300049,318.8216248,58206300
2/25/2021,321.3900146,324.0299988,311.2399902,312.8299866,307.706665,110182600
2/26/2021,315.8500061,319.1099854,310.8800049,314.1400146,308.9952698,104739800
3/1/2021,319.269989,323.9400024,317.9400024,323.5899963,318.2904663,49164500
3/2/2021,324.25,324.3299866,318.1400146,318.3999939,313.1854858,48370000
3/3/2021,317.269989,318.2399902,309.1000061,309.1600037,304.0968018,86301100
3/4/2021,308.7799988,312.0400085,300.1099854,304.1000061,299.1197205,139131600
3/5/2021,306.7999878,309.6099854,297.4500122,308.6799927,303.6246643,121523700
3/8/2021,308.1199951,310.0599976,299.5100098,299.9400024,295.027832,88409800
3/9/2021,307.4700012,313.730011,306.9200134,311.769989,306.6640015,80391100
3/10/2021,316.1600037,316.4700012,310.1700134,310.8800049,305.7886353,76798100
3/11/2021,315.769989,319.8599854,314.8500061,318.0400085,312.8314209,53484800
3/12/2021,313.8599854,318.230011,311.3900146,315.4599915,310.2936707,69315600
3/15/2021,315.7900085,319,314.1000061,318.8299866,313.608429,42955700
3/16/2021,321.0899963,324.2000122,319.1000061,320.5799866,315.3297729,54925900
3/17/2021,317.4500122,323.8500061,315.6799927,321.8999939,316.6281433,78258700
3/18/2021,316.8699951,317.8800049,311.5700073,312.0400085,306.929657,82718100
3/19/2021,311.8699951,314.730011,309.6600037,313.1400146,308.0115967,78446200
3/22/2021,315.2099915,320.7399902,315.2099915,318.6099854,313.7878723,56194800
3/23/2021,319.730011,321.0899963,316.3800049,317.2200012,312.4189453,53455400
3/24/2021,318.6300049,318.6700134,311.7200012,311.8699951,307.1498718,64803700
3/25/2021,309.9700012,312.8900146,307.3900146,311.3299866,306.6180115,78729000
3/26/2021,311.1099854,316.3299866,309.6700134,316,311.2173462,63519600
3/29/2021,315.4500122,316.9899902,312.4700012,315.9100037,311.1287231,54608000
3/30/2021,313.8900146,314.9100037,311.5400085,314.3200073,309.5627747,44635700
3/31/2021,316.1600037,320.7399902,315.8099976,319.1300049,314.2999878,55032500
4/1/2021,323.0700073,324.7099915,322.8099976,324.5700073,319.6576843,55685600
4/5/2021,327.1300049,331.8399963,326.8800049,331.0499878,326.0395508,42172500
4/6/2021,330.730011,332.8299866,330.019989,330.8200073,325.8131104,33537200
4/7/2021,330.3299866,332.480011,329.3699951,331.6199951,326.6009521,32046400
4/8/2021,334.5599976,335.269989,333.7399902,335.0799866,330.0085754,29940800
4/9/2021,333.6799927,337.3200073,332.9200134,337.1099854,332.0078125,36664900
4/12/2021,336.0400085,337.1000061,334.730011,336.6700134,331.5745544,25833000
